Date,USA,India,Brazil,Russia,United Kingdom,France,Turkey,Italy,Spain,Germany
1/3/2020,0,0,0,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0,0,0,0
1/20/2020,5,0,0,0,0,0,0,0,0,0
1/21/2020,5,0,0,0,0,0,0,0,0,0
1/22/2020,5,0,0,0,0,0,0,0,0,0
1/23/2020,5,0,0,0,0,0,0,0,0,0
1/24/2020,6,0,0,0,0,3,0,0,0,0
1/25/2020,6,0,0,0,0,3,0,0,0,0
1/26/2020,9,0,0,0,0,3,0,0,0,0
1/27/2020,9,0,0,0,0,3,0,0,0,0
1/28/2020,9,0,0,0,0,3,0,0,0,1
1/29/2020,9,0,0,0,0,4,0,2,0,4
1/30/2020,10,5,0,0,0,5,0,2,0,4
1/31/2020,11,5,0,2,0,6,0,3,0,5
2/1/2020,12,5,0,2,2,6,0,3,0,7
2/2/2020,12,6,0,2,2,6,0,3,12,8
2/3/2020,15,7,0,2,2,6,0,3,12,9
2/4/2020,15,7,0,2,2,6,0,3,12,11
2/5/2020,15,7,0,2,3,6,0,3,12,11
2/6/2020,16,7,0,2,3,6,0,3,12,11
2/7/2020,16,7,0,2,4,6,0,3,12,12
2/8/2020,16,7,0,2,4,11,0,3,12,13
2/9/2020,16,7,0,2,4,11,0,3,12,13
2/10/2020,16,7,0,2,8,11,0,3,12,13
2/11/2020,17,7,0,2,9,11,0,3,13,13
2/12/2020,17,7,0,2,9,11,0,3,13,15
2/13/2020,19,7,0,2,10,11,0,3,13,15
2/14/2020,19,7,0,2,10,11,0,3,18,15
2/15/2020,19,7,0,2,10,11,0,3,18,15
2/16/2020,19,7,0,2,10,11,0,3,18,15
2/17/2020,19,7,0,2,10,12,0,3,18,15
2/18/2020,19,7,0,2,10,12,0,3,18,15
2/19/2020,19,7,0,2,10,12,0,3,18,15
2/20/2020,19,7,0,2,10,12,0,3,18,15
2/21/2020,38,7,0,2,10,12,0,3,18,15
2/22/2020,39,7,0,2,10,12,0,17,18,15
2/23/2020,39,7,0,2,11,12,0,79,18,15
2/24/2020,57,7,0,2,11,12,0,132,19,15
2/25/2020,57,7,0,2,11,12,0,229,21,15
2/26/2020,63,7,5,2,13,14,0,322,23,17
2/27/2020,63,7,5,2,18,17,0,400,24,21
2/28/2020,66,7,5,2,22,38,0,650,32,47
2/29/2020,66,7,5,2,30,57,0,888,54,57
3/1/2020,66,7,6,2,42,100,0,1128,78,111
3/2/2020,68,9,6,2,47,123,0,1689,97,129
3/3/2020,112,9,6,3,69,171,0,2036,135,157
3/4/2020,133,31,7,3,109,205,0,2502,207,196
3/5/2020,133,32,11,3,164,278,0,3089,292,262
3/6/2020,217,35,12,4,220,416,0,3858,390,400
3/7/2020,217,38,23,4,271,595,0,4636,579,684
3/8/2020,217,43,23,7,352,698,0,5883,853,847
3/9/2020,476,48,29,7,412,1108,0,7375,1143,902
3/10/2020,700,54,29,7,469,1394,0,9172,1512,1139
3/11/2020,700,64,38,7,617,1765,1,10149,2162,1296
3/12/2020,991,78,56,20,876,2262,1,12462,3198,1567
3/13/2020,1268,85,102,34,1282,2848,1,15113,4544,2369
3/14/2020,1682,88,125,34,1766,3611,5,17660,6354,3062
3/15/2020,1718,111,125,34,2244,4436,6,21157,8532,3795
3/16/2020,1718,118,204,34,2605,5359,18,23980,10564,4838
3/17/2020,3540,141,238,93,3047,6557,47,27980,12875,6012
3/18/2020,7091,155,295,93,3658,7617,98,31506,16137,7156
3/19/2020,10442,195,428,147,4427,9004,191,35713,20619,8198
3/20/2020,15219,195,621,199,5426,10850,191,41035,25404,14138
3/21/2020,15219,283,904,253,6481,12445,670,47021,31283,18187
3/22/2020,15219,341,904,306,7736,14292,947,53578,37810,21463
3/23/2020,31573,434,904,438,8934,15821,1236,59138,43603,24774
3/24/2020,51914,519,2201,495,10312,19597,1529,63927,48925,29212
3/25/2020,51914,606,2201,658,12650,22025,1872,69176,57131,31554
3/26/2020,68334,649,2433,840,15025,24920,2433,74386,66855,36508
3/27/2020,68334,724,2433,1036,17717,28786,3629,80539,76996,42288
3/28/2020,85228,724,2915,1264,20804,32534,5698,86498,87110,48582
3/29/2020,103321,979,3417,1534,24001,37145,7402,92472,96860,52547
3/30/2020,122653,1071,3904,1837,26823,39636,9271,97689,103954,57298
3/31/2020,140640,1251,4256,2337,29681,43977,10827,101739,108478,61913
4/1/2020,163199,1636,4579,2777,33954,51477,13531,105792,116486,67366
4/2/2020,187302,1965,5717,2777,38468,56261,15679,110574,124409,73522
4/3/2020,213600,2301,6836,3548,43381,58327,18135,115242,131466,79696
4/4/2020,241703,2902,7910,4149,48249,63536,20921,119827,138373,85778
4/5/2020,273808,3374,9056,4731,53160,67757,23934,124632,145191,91714
4/6/2020,307318,4067,10278,5389,57180,69607,27069,128948,149860,95391
4/7/2020,333811,4421,11130,6343,60772,73488,30217,132547,153006,99225
4/8/2020,363321,5274,12056,7497,66054,77225,34109,135586,158401,103228
4/9/2020,395030,5865,13717,10131,71504,81094,38226,139422,163723,108202
4/10/2020,425889,6412,15927,11917,76635,85350,42282,143626,169209,113525
4/11/2020,461275,7447,17857,13584,81493,89683,47029,147577,173816,117658
4/12/2020,492881,8356,19638,15770,85806,92787,52167,152271,178253,120479
4/13/2020,524514,9152,20727,18328,89385,94382,56956,156363,181326,123016
4/14/2020,553822,10363,22169,21102,92874,97051,61049,159516,183705,125098
4/15/2020,578268,11439,23430,24490,97052,102534,65111,162488,186832,127584
4/16/2020,604070,12380,25262,27938,101378,105155,69392,165155,190825,130450
4/17/2020,632781,13387,28320,32008,106443,107778,74193,168941,194527,133830
4/18/2020,665330,14378,30425,36793,111735,108163,78546,172434,197943,137439
4/19/2020,695353,15712,33682,42853,116691,110721,82329,175925,201405,139897
4/20/2020,723605,17265,36599,47121,121412,111463,86306,178972,203584,141672
4/21/2020,751273,18601,38654,52763,125265,113513,90980,181228,205029,143457
4/22/2020,776907,19984,40581,57999,130119,116151,95591,183957,207548,145694
4/23/2020,800926,21393,43079,62773,134879,117961,98674,187327,210275,148046
4/24/2020,830053,23077,45757,68622,140366,119584,101790,189973,213046,150383
4/25/2020,860772,24506,49492,74588,145524,121339,104912,192994,215266,152438
4/26/2020,899281,26496,52995,80949,150494,122876,107773,195351,217550,154175
4/27/2020,931698,27892,58509,87147,154242,123280,110130,197675,218843,155193
4/28/2020,960916,29435,61888,93558,157715,124440,112261,199414,219659,156337
4/29/2020,983457,31332,66501,99399,162421,125465,114653,201505,221312,157641
4/30/2020,1003974,33050,71886,106498,167150,127066,117589,203591,223049,159119
5/1/2020,1035353,35043,78162,114431,172596,128121,120204,205463,224533,160758
5/2/2020,1067127,37336,85380,124054,177562,128722,122392,207428,225971,161703
5/3/2020,1093880,39980,91589,134687,182299,129458,124375,209328,226761,162496
5/4/2020,1125719,42533,96559,145268,185528,129708,126045,210717,227328,163175
5/5/2020,1154985,46433,101147,155370,188510,130242,127659,211938,227779,163860
